0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:49:44 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:49:44 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:49:44 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:49:44 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:49:44 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:49:44 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:49:44 +0530] "GET /shop_IT_v1/images/Laptop.png HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:49:44 +0530] "GET /shop_IT_v1/images/Mobile.png HTTP/1.1" 200 9270
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:50:16 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:50:16 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:50:16 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:50:16 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:50:16 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:50:16 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:50:16 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:50:16 +0530] "GET /shop_IT_v1/images/Laptop.png HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:50:16 +0530] "GET /shop_IT_v1/images/Mobile.png HTTP/1.1" 200 9270
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:52:44 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:52:44 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:52:44 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:52:44 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:52:44 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:52:45 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:52:45 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:52:45 +0530] "GET /shop_IT_v1/images/Laptop.png HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:52:45 +0530] "GET /shop_IT_v1/images/Mobile.png HTTP/1.1" 200 9270
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:53:52 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:53:52 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:53:52 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:53:52 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:53:52 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:53:52 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:53:52 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:53:52 +0530] "GET /shop_IT_v1/images/Laptop.png HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:53:52 +0530] "GET /shop_IT_v1/images/Mobile.png HTTP/1.1" 200 9270
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:55:01 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:55:01 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:55:01 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:55:01 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:55:01 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:55:02 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:55:02 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:55:02 +0530] "GET /shop_IT_v1/images/Mobile.png HTTP/1.1" 200 9270
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:55:02 +0530] "GET /shop_IT_v1/images/Laptop.png HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:56:14 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:56:14 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:56:14 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:56:14 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:56:14 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:56:14 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:56:14 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:56:14 +0530] "GET /shop_IT_v1/images/Laptop.png HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:56:14 +0530] "GET /shop_IT_v1/images/Mobile.png HTTP/1.1" 200 9270
